#Table: J/A+A/584/A91/tablea2.dat (http://cdsarc.cds.unistra.fr)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   |               |                       |       |       |     |    |    |  e|     |     |     |     |     |     |    |            |
   |               | R  R         D  D     |       |       |     | e_M|   T|_Td|   NH|     |    N|   nH|     |    n| alp|            |
Seq|Name           |Ah Am   RAs  Ed Em  DEs|     Rd|   Robs|Mcore|core|dust|ust|2peak|NH2av|H2avd|2peak|nH2av|H2avd|haBE|Coretype    |Com
---|---------------|-----------------------|-------|-------|-----|----|----|---|-----|-----|-----|-----|-----|-----|----|------------|--------------------------------------------
 58|182721.6-033954|18 27 21.60 -03 39 54.5|2.0e-02|3.3e-02| 0.09|0.04|11.8|1.1|  1.1|  1.0|  2.6|  0.7|  0.6|  2.8| 4.5|starless    |
 59|182721.9-030252|18 27 21.96 -03 02 52.2|3.4e-02|4.1e-02| 0.14|0.11|11.8|2.4|  2.2|  1.0|  1.5|  1.2|  0.5|  1.0| 4.8|starless    |
 60|182722.1-005034|18 27 22.10 -00 50 34.4|3.0e-02|3.9e-02| 0.44|0.22|11.5|4.5|  4.9|  3.4|  5.7|  2.7|  1.9|  4.1| 1.4|prestellar  |no SED fit
 61|182722.5-034207|18 27 22.56 -03 42 07.6|5.3e-02|5.8e-02| 1.96|0.87| 8.7|0.8| 14.5|  6.8|  8.2|  6.3|  2.6|  3.4| 0.5|prestellar  |
 62|182724.1-005007|18 27 24.18 -00 50 07.8|6.6e-02|7.0e-02| 0.23|0.05|13.1|0.8|  2.4|  0.6|  0.6|  0.9|  0.2|  0.2| 5.6|starless    |
 63|182730.2-035032|18 27 30.27 -03 50 32.5|3.7e-02|5.1e-02| 1.95|0.85|10.4|1.3| 18.8|  8.7| 16.9|  8.8|  3.7| 10.0| 0.4|prestellar  |
 64|182731.5-030218|18 27 31.50 -03 02 18.1|2.2e-02|3.3e-02| 0.09|0.08|12.0|2.7|  1.9|  0.9|  2.2|  1.1|  0.6|  2.2| 4.9|starless    |
 65|182734.9-033936|18 27 34.95 -03 39 36.5|3.5e-02|4.6e-02| 0.62|0.34|10.1|1.1|  9.3|  3.5|  5.9|  4.6|  1.6|  3.7| 1.1|prestellar  |
 66|182737.9-035047|18 27 37.98 -03 50 47.1|1.8e-02|3.0e-02| 0.04|0.01|25.5|3.4|  0.8|  0.5|  1.3|  0.5|  0.4|  1.6| 9.9|starless    |
 67|182739.2-004354|18 27 39.29 -00 43 54.9|2.1e-02|3.3e-02| 0.08|0.05|11.8|1.7|  1.5|  0.8|  2.1|  0.9|  0.6|  2.2| 5.4|starless    |
 68|182740.6-034935|18 27 40.67 -03 49 35.5|1.8e-02|3.0e-02| 0.60|0.04|23.3|0.2|  8.1|  8.1| 22.1|  4.9|  6.0| 27.0| 0.6|protostellar|
 69|182743.2-042841|18 27 43.23 -04 28 41.4|1.7e-02|2.8e-02| 0.06|0.03|11.5|4.5|  1.1|  1.0|  2.6|  0.7|  0.8|  3.4| 5.3|starless    |no SED fit
 70|182743.2-041648|18 27 43.27 -04 16 48.7|2.7e-02|3.6e-02| 0.15|0.07|13.0|1.3|  3.6|  1.4|  2.5|  2.0|  0.9|  2.0| 3.5|prestellar  |             tentative bound
 71|182744.5-035413|18 27 44.52 -03 54 13.4|4.2e-02|4.8e-02| 0.13|0.07|14.5|4.5|  3.4|  0.7|  0.9|  1.7|  0.3|  0.5| 6.3|starless    |no SED fit
 72|182745.2-041719|18 27 45.23 -04 17 19.4|5.6e-02|6.1e-02| 0.80|0.26|10.9|0.8|  7.9|  2.5|  3.0|  3.3|  0.9|  1.2| 1.4|prestellar  |
 73|182745.3-033013|18 27 45.34 -03 30 13.5|7.1e-02|7.5e-02| 0.52|0.13|12.4|0.8|  3.1|  1.1|  1.2|  1.1|  0.3|  0.4| 2.7|prestellar  |             tentative bound
 74|182747.2-033940|18 27 47.28 -03 39 40.4|3.8e-02|4.5e-02| 0.21|0.11|11.5|4.5|  2.6|  1.3|  1.8|  1.3|  0.6|  1.0| 3.5|prestellar  |no SED fit   tentative bound
 75|182748.6-003311|18 27 48.68 -00 33 11.8|4.8e-02|5.3e-02| 0.41|0.10|11.3|0.6|  5.1|  1.7|  2.1|  2.3|  0.7|  1.0| 2.3|prestellar  |             tentative bound
 76|182748.7-030928|18 27 48.74 -03 09 28.4|8.3e-02|8.6e-02| 0.50|0.25|11.5|4.5|  2.2|  0.8|  0.9|  0.7|  0.2|  0.2| 3.3|starless    |no SED fit
 77|182749.9-034912|18 27 49.99 -03 49 12.8|1.6e-02|2.8e-02| 0.16|0.04|15.5|0.8|  3.7|  2.6|  7.4|  2.3|  2.0|  9.9| 2.0|protostellar|
 78|182751.4-035317|18 27 51.41 -03 53 17.8|2.9e-02|4.0e-02| 0.07|0.04|16.9|2.7|  0.9|  0.5|  0.9|  0.5|  0.3|  0.7| 8.6|starless    |
 79|182754.3-034237|18 27 54.36 -03 42 37.2|2.0e-02|3.1e-02| 2.06|0.26|12.3|0.5| 42.4| 24.8| 64.2| 25.5| 17.3| 72.1| 0.2|protostellar|
 80|182755.3-033037|18 27 55.34 -03 30 37.3|5.1e-02|5.6e-02| 0.60|0.20|11.6|0.9|  6.2|  2.3|  2.7|  2.7|  0.9|  1.2| 1.7|prestellar  |
 81|182756.5-025711|18 27 56.51 -02 57 11.3|2.6e-02|3.7e-02| 0.15|0.08|11.5|4.5|  1.9|  1.3|  2.7|  1.0|  0.8|  2.3| 3.3|prestellar  |no SED fit   tentative bound
 82|182756.9-034357|18 27 56.98 -03 43 57.0|3.9e-02|4.5e-02| 0.24|0.09|14.7|1.4|  3.2|  1.4|  1.9|  1.6|  0.7|  1.1| 3.1|prestellar  |             tentative bound
 83|182757.4-033548|18 27 57.47 -03 35 48.5|2.3e-02|3.4e-02| 0.09|0.05|11.5|4.5|  1.1|  1.0|  2.0|  0.7|  0.6|  1.9| 5.0|starless    |no SED fit
 84|182757.5-034046|18 27 57.52 -03 40 46.0|7.2e-02|7.8e-02| 4.55|1.06|10.2|0.6| 37.3|  8.9| 10.5| 13.0|  2.5|  3.2| 0.3|prestellar  |
 85|182758.8-034948|18 27 58.85 -03 49 48.3|3.6e-02|4.3e-02| 2.00|0.30|12.9|0.3| 15.1| 12.8| 18.8|  7.9|  6.5| 11.6| 0.4|prestellar  |
 86|182801.9-033921|18 28 01.91 -03 39 21.1|1.9e-02|3.1e-02| 0.10|0.05|11.5|4.5|  1.2|  1.2|  3.2|  0.8|  0.8|  3.7| 3.8|prestellar  |no SED fit   tentative bound
 87|182803.8-012214|18 28 03.89 -01 22 14.8|4.0e-02|4.8e-02| 1.96|0.53| 8.9|0.5| 24.0| 10.2| 14.7| 11.7|  4.7|  8.1| 0.4|prestellar  |
 88|182805.4-034021|18 28 05.48 -03 40 21.4|2.0e-02|3.1e-02| 0.09|0.04|11.5|4.5|  1.2|  1.1|  2.6|  0.7|  0.8|  2.9| 4.5|starless    |no SED fit
 89|182806.6-034720|18 28 06.66 -03 47 20.3|2.2e-02|3.3e-02| 0.20|0.10|11.5|4.5| 12.6|  2.2|  4.9|  7.4|  1.4|  4.8| 2.2|prestellar  |no SED fit   tentative bound
 90|182806.6-034623|18 28 06.66 -03 46 23.3|4.2e-02|4.8e-02| 0.80|0.41|13.3|1.7| 18.3|  4.1|  5.5|  8.9|  1.9|  2.9| 1.0|prestellar  |
 91|182808.0-032558|18 28 08.02 -03 25 58.2|3.7e-02|4.4e-02| 0.10|0.05|11.5|4.5|  1.0|  0.6|  0.8|  0.5|  0.3|  0.5| 7.4|starless    |no SED fit
 92|182809.2-034809|18 28 09.22 -03 48 09.9|1.6e-02|2.7e-02| 3.06|0.43|13.4|0.7| 54.9| 50.8|149.4| 34.9| 41.6|209.9| 0.1|protostellar|
 93|182809.3-013354|18 28 09.36 -01 33 54.5|4.0e-02|4.6e-02| 0.41|0.17|10.9|1.2|  5.7|  2.3|  3.1|  2.8|  1.1|  1.7| 1.9|prestellar  |
 94|182809.9-013450|18 28 09.90 -01 34 50.4|6.1e-02|6.5e-02| 0.94|0.30|12.0|1.1|  7.0|  2.7|  3.0|  2.8|  0.9|  1.1| 1.3|prestellar  |
 95|182810.0-015110|18 28 10.00 -01 51 10.8|9.0e-02|9.3e-02| 1.27|0.51|11.9|1.3|  5.3|  1.7|  1.9|  1.6|  0.4|  0.4| 1.4|prestellar  |
 96|182810.1-034656|18 28 10.10 -03 46 56.5|5.3e-02|5.7e-02| 0.76|0.26|12.8|1.0| 18.0|  2.8|  3.3|  7.9|  1.1|  1.4| 1.4|prestellar  |
 97|182812.9-034434|18 28 12.97 -03 44 34.6|1.9e-02|3.0e-02| 0.08|0.04|11.5|4.5|  1.1|  1.0|  2.5|  0.7|  0.7|  2.9| 4.9|starless    |no SED fit
 98|182813.0-034735|18 28 13.05 -03 47 35.8|2.1e-02|3.2e-02| 0.21|0.10|11.5|4.5|  8.0|  2.4|  5.5|  4.7|  1.6|  5.6| 2.0|prestellar  |no SED fit   tentative bound
 99|182813.2-013718|18 28 13.23 -01 37 18.0|1.8e-02|2.9e-02| 0.06|0.03|11.5|4.5|  0.9|  0.8|  2.1|  0.6|  0.6|  2.6| 6.2|starless    |no SED fit
100|182814.4-032915|18 28 14.42 -03 29 15.2|7.5e-02|7.9e-02| 0.67|0.33|11.5|4.5|  2.7|  1.3|  1.4|  0.9|  0.4|  0.4| 2.2|prestellar  |no SED fit   tentative bound
