seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
298,183003.8-021130,0.02,0.032,0.22,0.11,11.5,4.5,7.3e+21,2.6e+21,6.7e+21,44000,17000,73000,1.8,prestellar,1,0,0
299,183004.1-020305,0.016,0.027,7.98,1.51,15.5,1.2,1.704e+23,1.292e+23,3.926e+23,1.079e+06,1.045e+06,5.539e+06,0,protostellar,0,0,0
300,183004.3-015946,0.02,0.031,0.32,0.12,11.2,0.9,1.17e+22,4e+21,9.5e+21,71000,28000,104000,1.2,prestellar,0,0,0
301,183004.6-042607,0.034,0.043,0.26,0.13,11.5,4.5,3e+21,1.7e+21,2.6e+21,15000,9000,17000,2.6,prestellar,1,1,0
302,183004.8-014948,0.029,0.037,2.01,0.57,7.6,0.4,7e+21,1.74e+22,2.88e+22,39000,103000,219000,0.3,prestellar,0,0,0
303,183005.4-014833,0.033,0.04,1.01,0.28,9.2,0.6,2.46e+22,7.4e+21,1.1e+22,132000,40000,73000,0.6,prestellar,0,0,0
304,183005.5-015029,0.034,0.042,0.6,0.3,11.5,4.5,7.5e+21,4e+21,6e+21,39000,21000,38000,1.1,prestellar,1,0,0
305,183006.6-020512,0.021,0.032,0.27,0.13,11.5,4.5,1.04e+22,3e+21,7e+21,62000,20000,72000,1.6,prestellar,1,0,0
306,183006.7-021848,0.024,0.036,0.06,0.02,14.3,1.2,1.2e+21,5e+20,1.1e+21,7000,3000,10000,8.7,starless,0,0,0
307,183006.8-013301,0.035,0.043,0.44,0.28,10.5,1.5,9.4e+21,2.9e+21,4.3e+21,49000,15000,27000,1.6,prestellar,0,0,0
308,183007.1-042726,0.036,0.044,0.18,0.09,11.5,4.5,2.2e+21,1.1e+21,1.6e+21,11000,5000,10000,4,starless,1,0,0
309,183007.2-021213,0.038,0.045,1.67,0.62,9.4,0.7,2.65e+22,9.7e+21,1.38e+22,134000,47000,79000,0.4,prestellar,0,0,0
310,183009.0-020407,0.011,0.024,0.02,0.02,15.1,2.3,1.5e+21,5e+20,2.2e+21,10000,5000,41000,9.5,starless,0,0,0
311,183010.7-015803,0.03,0.038,0.09,0.05,11.5,4.5,1.1e+21,8e+20,1.2e+21,6000,4000,9000,6.3,starless,1,0,0
312,183010.8-020558,0.019,0.031,0.54,0.27,11.5,4.5,1.58e+22,6.9e+21,1.73e+22,96000,50000,196000,0.7,prestellar,1,0,0
313,183011.5-020047,0.025,0.034,0.02,0.04,18.3,6.3,4.8e+21,2e+20,3e+20,27000,1000,3000,31.2,starless,0,0,0
314,183011.7-024533,0.026,0.036,0.06,0.02,14.5,1.5,1.4e+21,5e+20,1e+21,8000,3000,8000,9.2,starless,0,0,0
315,183012.4-020653,0.015,0.027,1.07,0.54,11.5,4.5,2.82e+22,1.75e+22,5.75e+22,179000,142000,846000,0.3,protostellar,1,0,0
316,183013.1-020325,0.021,0.033,0.14,0.07,11.5,4.5,9.6e+21,1.5e+21,3.6e+21,57000,10000,36000,3.1,prestellar,1,1,0
317,183013.6-043014,0.072,0.075,1.92,0.7,8.9,0.7,8.1e+21,4e+21,4.5e+21,29000,12000,14000,0.7,prestellar,0,0,0
318,183014.1-014953,0.019,0.03,0.06,0.03,13.2,1.1,1.4e+21,8e+20,2e+21,8000,6000,23000,6.1,starless,0,0,0
319,183014.3-015243,0.022,0.032,1.08,0.32,8.1,0.5,6.3e+21,1.26e+22,2.7e+22,38000,87000,272000,0.4,prestellar,0,0,0
320,183014.5-015938,0.034,0.043,0.54,0.31,9.5,1.3,9.3e+21,3.5e+21,5.6e+21,48000,18000,36000,1.2,prestellar,0,0,0
321,183014.9-013334,0.015,0.027,0.68,0.35,10.5,0.5,2.87e+22,1.11e+22,3.58e+22,182000,90000,522000,0.4,protostellar,0,0,0
322,183015.7-015031,0.02,0.031,0.24,0.05,12,0.5,5.8e+21,3.1e+21,7.3e+21,35000,22000,80000,1.6,prestellar,0,0,0
323,183016.2-020716,0.013,0.025,0.57,0.29,11.5,4.5,1.99e+22,1.08e+22,3.98e+22,129000,95000,667000,0.5,protostellar,1,0,0
324,183017.3-015713,0.043,0.049,0.22,0.11,11.5,4.5,2.7e+21,1.1e+21,1.4e+21,13000,5000,7000,3.8,starless,1,0,0
325,183017.6-015622,0.019,0.03,0.08,0.04,11.5,4.5,4e+21,1e+21,2.5e+21,24000,7000,29000,4.9,starless,1,0,0
326,183017.6-020959,0.016,0.028,0.74,0.1,11.9,0.3,1.77e+22,1.09e+22,3.54e+22,110000,84000,492000,0.4,protostellar,0,0,0
327,183017.8-020117,0.031,0.039,0.1,0.07,12,1.8,1.3e+21,8e+20,1.2e+21,7000,4000,8000,6.4,starless,0,0,0
328,183017.9-014639,0.032,0.039,1.62,0.38,8.5,0.4,3.07e+22,1.24e+22,1.89e+22,167000,69000,130000,0.4,prestellar,0,0,0
329,183018.1-020843,0.036,0.043,2.65,1.32,11.5,4.5,2.48e+22,1.67e+22,2.4e+22,128000,85000,145000,0.3,prestellar,1,0,0
330,183019.2-013031,0.043,0.05,0.92,0.25,9.8,0.6,1.33e+22,4.4e+21,5.9e+21,63000,19000,30000,0.9,prestellar,0,0,0
331,183019.6-015153,0.023,0.035,0.05,0.04,18.4,5,3.7e+21,5e+20,1.1e+21,21000,3000,11000,8.8,starless,0,0,0
332,183020.0-013826,0.041,0.048,1.27,0.44,9.1,0.7,1.75e+22,6.5e+21,9e+21,85000,29000,48000,0.6,prestellar,0,0,0
333,183020.6-020421,0.032,0.046,0.33,0.16,11.5,4.5,6.2e+21,1.9e+21,3.8e+21,31000,9000,26000,1.9,prestellar,1,0,0
334,183021.7-014859,0.065,0.069,0.54,0.3,13.2,2,5e+21,1.3e+21,1.5e+21,19000,4000,5000,2.4,prestellar,0,1,0
335,183023.5-020610,0.026,0.035,0.05,0.02,14.1,1.3,8e+20,5e+20,9e+20,5000,3000,8000,9.9,starless,0,0,0
336,183024.3-015248,0.028,0.037,0.55,0.13,11,0.6,1.07e+22,4.9e+21,8.5e+21,60000,29000,67000,1,prestellar,0,0,0
337,183025.4-020115,0.018,0.03,0.18,0.09,11.5,4.5,2.8e+21,2.4e+21,6.4e+21,17000,18000,77000,2,prestellar,1,0,0
338,183025.5-015839,0.025,0.036,0.05,0.04,15.3,3.6,3.3e+21,5e+20,9e+20,19000,3000,8000,10.1,starless,0,0,0
339,183025.5-020427,0.028,0.038,0.68,0.28,9.3,0.8,1.46e+22,5.7e+21,1.04e+22,81000,33000,82000,0.8,prestellar,0,0,0
340,183025.5-015420,0.026,0.035,1.78,0.17,10.5,0.2,2.91e+22,1.77e+22,3.2e+22,168000,112000,273000,0.3,prestellar,0,0,0
341,183025.9-020709,0.023,0.033,0.19,0.14,9.8,1.8,7.2e+21,2.1e+21,4e+21,43000,14000,38000,2.5,prestellar,0,1,0
342,183026.0-021041,0.011,0.023,0.81,0.1,13.7,0.5,1.7e+22,1.82e+22,7.3e+22,113000,174000,1.395e+06,0.3,protostellar,0,0,0
343,183026.5-020015,0.046,0.052,1.8,0.64,9.5,0.8,2.23e+22,8.1e+21,1.01e+22,104000,34000,48000,0.5,prestellar,0,0,0
344,183026.8-021427,0.031,0.039,0.04,0.02,17.3,2.1,9e+20,3e+20,5e+20,5000,2000,3000,16.1,starless,0,0,0
345,183027.5-020336,0.02,0.031,0.19,0.12,10.7,1.7,4.7e+21,2.3e+21,5.6e+21,29000,16000,60000,2.1,prestellar,0,1,0
346,183027.9-042954,0.035,0.045,0.19,0.09,11.5,4.5,2e+21,1.1e+21,1.8e+21,10000,6000,11000,3.7,prestellar,1,1,0
347,183027.9-021059,0.017,0.029,0.55,0.27,14.5,4.5,1.36e+22,7.8e+21,2.16e+22,84000,60000,274000,0.6,protostellar,1,0,0
348,183028.0-014541,0.031,0.04,0.36,0.21,9.9,1.4,7.5e+21,2.7e+21,4.4e+21,41000,15000,31000,1.7,prestellar,0,0,0
349,183028.9-015603,0.014,0.027,1.6,0.8,11.5,4.5,2.21e+22,2.6e+22,9.52e+22,140000,211000,1.479e+06,0.2,protostellar,1,0,0
350,183029.2-020831,0.039,0.048,0.19,0.07,14.4,1.5,4.8e+21,1e+21,1.5e+21,24000,5000,9000,4,starless,0,0,0
351,183029.2-015650,0.029,0.038,1.09,0.13,11.9,0.4,2.7e+22,9e+21,1.5e+22,149000,52000,112000,0.5,protostellar,0,0,0
352,183030.6-015316,0.03,0.043,0.45,0.23,11.5,4.5,5.1e+21,2.9e+21,6e+21,26000,15000,44000,1.3,prestellar,1,0,0
353,183032.5-015439,0.032,0.04,1.58,0.85,8,0.9,2.19e+22,1.2e+22,1.82e+22,119000,66000,124000,0.4,prestellar,0,0,0
354,183032.7-021816,0.098,0.1,0.65,0.33,14.5,4.5,3.2e+21,8e+20,8e+20,9000,2000,2000,3,starless,1,0,0
355,183032.9-012851,0.064,0.068,0.48,0.24,11.5,4.5,2.8e+21,1.2e+21,1.4e+21,11000,4000,5000,2.6,prestellar,1,1,0
356,183033.3-015918,0.026,0.039,1.03,0.37,9.6,0.8,1.75e+22,7.9e+21,1.75e+22,95000,44000,145000,0.5,prestellar,0,0,0
357,183035.3-015724,0.04,0.049,1.2,0.55,9,0.9,1.76e+22,5.9e+21,9.1e+21,84000,26000,50000,0.6,prestellar,0,0,0
358,183035.7-020518,0.055,0.06,1.87,0.89,9.3,1,1.27e+22,6.2e+21,7.4e+21,54000,22000,30000,0.6,prestellar,0,0,0
359,183036.2-021708,0.026,0.035,0.1,0.03,13.9,0.9,1.7e+21,1e+21,1.8e+21,10000,6000,15000,5.1,starless,0,0,0
360,183036.2-011742,0.055,0.061,0.31,0.16,11.5,4.5,2.4e+21,1e+21,1.2e+21,10000,4000,5000,3.5,starless,1,0,0
361,183036.9-021141,0.024,0.036,0.58,0.13,10.6,0.6,1.22e+22,5.3e+21,1.24e+22,69000,32000,115000,0.8,prestellar,0,0,0
362,183037.5-020856,0.055,0.06,0.36,0.05,15.5,0.6,4.6e+21,1.2e+21,1.4e+21,20000,4000,5000,3.1,protostellar,0,0,0
363,183037.8-022234,0.14,0.14,2.43,0.54,12.8,0.7,3.4e+21,1.4e+21,1.5e+21,7000,2000,2000,1.1,prestellar,0,0,0
364,183037.9-015237,0.035,0.043,1.97,0.52,8.9,0.6,2.92e+22,1.25e+22,1.86e+22,152000,64000,115000,0.4,prestellar,0,0,0
365,183037.9-021012,0.023,0.033,0.03,0.01,14.5,4.5,1e+21,3e+20,7e+20,6000,2000,7000,15.4,starless,1,0,0
366,183038.6-042955,0.025,0.038,0.65,0.17,9.6,0.5,1.1e+22,5.4e+21,1.26e+22,61000,31000,112000,0.8,prestellar,0,0,0
367,183038.8-015550,0.019,0.03,0.05,0.04,14.8,4.6,2.7e+21,7e+20,1.6e+21,17000,5000,19000,7.5,starless,0,0,0
368,183040.6-015126,0.022,0.034,0.24,0.12,11.5,4.5,3e+21,2.4e+21,5.6e+21,18000,16000,55000,1.9,prestellar,1,0,0
369,183040.8-023124,0.045,0.05,0.06,0.03,14.5,4.5,1.4e+21,3e+20,4e+20,7000,1000,2000,14,starless,1,0,0
370,183041.7-041557,0.063,0.068,0.37,0.18,12.2,1.5,3.6e+21,1e+21,1.1e+21,14000,3000,4000,3.4,starless,0,0,0
371,183041.8-015840,0.041,0.047,0.29,0.15,11.5,4.5,4e+21,1.6e+21,2.1e+21,20000,7000,11000,2.8,prestellar,1,1,0
372,183041.9-015306,0.052,0.059,1.96,0.83,9.3,0.9,1.86e+22,6.6e+21,8.5e+21,79000,24000,35000,0.5,prestellar,0,0,0
373,183042.2-023009,0.025,0.035,0.27,0.15,9.4,1.1,4.8e+21,2.6e+21,5.1e+21,28000,17000,45000,1.8,prestellar,0,0,0
374,183042.4-021256,0.023,0.035,0.14,0.06,12.2,1.2,3.9e+21,1.4e+21,3.2e+21,22000,9000,31000,3.2,prestellar,0,1,0
375,183042.4-011724,0.053,0.058,0.51,0.22,11.5,1.3,3.7e+21,1.8e+21,2.2e+21,16000,7000,9000,2,prestellar,0,1,0
376,183042.5-015625,0.016,0.028,0.19,0.17,10.4,2.1,3.5e+21,2.9e+21,9.2e+21,22000,23000,129000,1.6,prestellar,0,0,0
377,183042.7-013514,0.052,0.057,0.64,0.21,10.9,0.9,7.7e+21,2.4e+21,2.8e+21,34000,9000,12000,1.6,prestellar,0,0,0
378,183044.3-015719,0.052,0.056,0.56,0.28,11.5,4.5,6.2e+21,2.1e+21,2.5e+21,27000,8000,11000,1.8,prestellar,1,0,0
379,183045.2-023018,0.03,0.038,0.09,0.04,14.5,4.5,2e+21,7e+20,1.1e+21,11000,4000,8000,7,starless,1,0,0
380,183045.6-012137,0.031,0.039,0.13,0.06,11.5,4.5,1.3e+21,1e+21,1.5e+21,7000,6000,11000,4.9,starless,1,0,0
381,183045.7-022622,0.03,0.039,1.02,0.47,8.1,0.7,1.4e+22,7.8e+21,1.32e+22,76000,44000,95000,0.6,prestellar,0,0,0
382,183046.1-012030,0.062,0.067,0.77,0.14,11.5,0.4,5.8e+21,2.1e+21,2.4e+21,23000,7000,8000,1.6,prestellar,0,0,0
383,183046.8-022758,0.028,0.038,0.15,0.07,11.5,4.5,2.1e+21,1.2e+21,2.3e+21,11000,7000,18000,3.8,prestellar,1,1,0
384,183047.1-022545,0.026,0.035,0.61,0.34,8.7,1,8.4e+21,5.8e+21,1.1e+22,48000,36000,94000,0.8,prestellar,0,0,0
385,183047.3-015654,0.019,0.03,0.46,0.23,11.5,4.5,7.6e+21,6.2e+21,1.54e+22,47000,46000,180000,0.8,protostellar,1,0,0
386,183048.4-014159,0.024,0.033,0.49,0.22,8.9,0.8,1.37e+22,5.3e+21,1.04e+22,81000,36000,97000,1,prestellar,0,0,0
387,183049.1-011538,0.027,0.035,0.12,0.12,11.3,3.1,2.7e+21,1.2e+21,2e+21,15000,7000,17000,4.3,starless,0,0,0
388,183049.5-015603,0.029,0.037,1.16,0.1,12.2,0.3,2.52e+22,1e+22,1.61e+22,141000,59000,121000,0.5,protostellar,0,0,0
389,183050.3-015400,0.036,0.043,1.02,0.62,8.2,1,2.23e+22,6.7e+21,9.4e+21,117000,34000,58000,0.7,prestellar,0,0,0
390,183050.7-025025,0.022,0.034,0.07,0.04,11.5,4.5,9e+20,8e+20,1.8e+21,5000,5000,17000,5.9,starless,1,0,0
391,183050.8-014524,0.02,0.031,0.31,0.16,11.5,4.5,2.46e+22,3.9e+21,9e+21,149000,27000,98000,1.3,prestellar,1,0,0
392,183051.1-014219,0.039,0.046,0.38,0.19,11.5,4.5,3.4e+21,2.1e+21,3e+21,17000,10000,17000,2,prestellar,1,1,0
393,183051.2-022808,0.03,0.039,0.08,0.04,14.5,4.5,2e+21,7e+20,1.1e+21,11000,4000,8000,7,starless,1,0,0
394,183051.4-011954,0.051,0.056,0.43,0.15,11.8,1,3.4e+21,1.6e+21,2e+21,15000,6000,8000,2.4,prestellar,0,1,0
395,183053.4-014202,0.029,0.038,0.34,0.16,10.1,1.1,6.4e+21,2.9e+21,4.9e+21,36000,17000,37000,1.7,prestellar,0,0,0
396,183053.4-015014,0.036,0.043,0.16,0.09,13.4,2.2,3.8e+21,1e+21,1.4e+21,20000,5000,9000,4.5,starless,0,0,0
397,183053.4-015535,0.027,0.037,2.09,0.86,7.8,0.6,7.7e+21,1.79e+22,3.33e+22,43000,105000,267000,0.3,prestellar,0,0,0
398,183054.0-014921,0.024,0.036,0.16,0.07,11.5,1.1,2.7e+21,1.5e+21,3.4e+21,15000,9000,31000,2.9,prestellar,0,1,0
399,183054.7-014534,0.077,0.08,1.27,0.34,13,1.1,6.7e+21,2.3e+21,2.6e+21,23000,6000,7000,1.2,prestellar,0,0,0
400,183054.7-011502,0.02,0.031,0.09,0.1,11.4,3.3,2.6e+21,1.1e+21,2.5e+21,15000,7000,27000,4.6,starless,0,0,0
401,183054.9-014831,0.019,0.029,0.09,0.05,11.5,4.5,1.3e+21,1.2e+21,3.1e+21,8000,9000,37000,4,prestellar,1,1,0
402,183054.9-020803,0.018,0.03,0.09,0.03,16.5,1.6,2.2e+21,1.2e+21,3.3e+21,13000,9000,40000,3.9,prestellar,0,1,0
403,183055.5-015425,0.042,0.048,0.69,0.35,11.5,4.5,7e+21,3.5e+21,4.6e+21,34000,16000,24000,1.2,prestellar,1,0,0
404,183055.6-020830,0.026,0.035,0.27,0.08,15.1,1.1,3.7e+21,2.6e+21,4.7e+21,21000,16000,39000,1.9,prestellar,0,0,0
405,183056.4-021120,0.022,0.033,0.19,0.15,10.5,1.6,5.7e+21,2.1e+21,4.9e+21,34000,14000,50000,2.2,prestellar,0,1,0
406,183057.4-014048,0.05,0.055,0.29,0.14,11.5,4.5,2.4e+21,1.1e+21,1.4e+21,11000,4000,6000,3.4,prestellar,1,1,0
407,183057.7-020843,0.012,0.024,0.25,0.07,12.4,1,4.8e+21,5e+21,2.22e+22,32000,45000,421000,0.9,prestellar,0,0,0
408,183058.4-020554,0.031,0.039,0.12,0.06,15.1,1.8,2.4e+21,1e+21,1.5e+21,13000,5000,10000,5,starless,0,0,0
409,183058.5-022648,0.061,0.065,1.28,0.37,10.7,0.8,8.9e+21,3.6e+21,4.1e+21,36000,12000,15000,0.9,prestellar,0,0,0
410,183059.9-021957,0.081,0.084,0.33,0.09,17.1,1.9,1.8e+21,6e+20,6e+20,6000,1000,2000,4.8,starless,0,0,0
411,183100.2-020152,0.017,0.029,0.03,0.01,22.4,2,1.3e+21,4e+20,1.3e+21,8000,3000,16000,11,protostellar,0,0,0
412,183100.2-015959,0.021,0.031,0.1,0.02,21.7,1.3,2.4e+21,1.2e+21,2.9e+21,14000,9000,31000,3.9,protostellar,0,0,0
413,183100.2-011845,0.024,0.036,0.16,0.13,10.1,1.9,4.6e+21,1.4e+21,3.2e+21,26000,9000,29000,3.1,prestellar,0,1,0
414,183100.6-022713,0.05,0.055,0.45,0.22,11.5,4.5,4.3e+21,1.8e+21,2.2e+21,19000,7000,10000,2.2,prestellar,1,1,0
415,183102.1-011555,0.045,0.052,0.62,0.1,12.1,0.5,7.3e+21,2.8e+21,3.6e+21,34000,12000,18000,1.4,prestellar,0,0,0
416,183102.6-021016,0.02,0.031,1.23,0.14,11.8,0.3,2.23e+22,1.54e+22,3.8e+22,135000,110000,426000,0.3,prestellar,0,0,0
417,183102.9-021605,0.023,0.033,0.14,0.07,14.5,4.5,3.2e+21,1.5e+21,3.2e+21,19000,10000,30000,3.2,prestellar,1,1,0
418,183103.2-021354,0.024,0.035,0.32,0.12,11.5,1.1,5.3e+21,3e+21,6.7e+21,30000,19000,62000,1.5,prestellar,0,0,0
419,183103.6-020641,0.037,0.044,0.05,0.04,15.5,3.5,2.2e+21,3e+20,5e+20,11000,2000,3000,13.7,starless,0,0,0
420,183103.7-020944,0.02,0.032,4.93,0.3,11.3,0.2,8.38e+22,5.86e+22,1.498e+23,502000,406000,1.661e+06,0.1,prestellar,0,0,0
421,183104.4-015227,0.026,0.039,0.34,0.17,11.5,4.5,4.2e+21,2.7e+21,6e+21,23000,15000,50000,1.5,prestellar,1,0,0
422,183104.7-021243,0.02,0.031,0.12,0.05,13.3,1.4,3.2e+21,1.5e+21,3.7e+21,19000,10000,40000,3.2,prestellar,0,1,0
423,183105.3-011450,0.015,0.028,0.04,0.02,11.5,4.5,6e+20,6e+20,2.2e+21,4000,5000,32000,7.3,starless,1,0,0
424,183106.0-020755,0.019,0.031,0.05,0.02,22.1,2.8,1.9e+21,7e+20,1.7e+21,12000,5000,20000,7,starless,0,0,0
425,183106.4-021704,0.047,0.053,2.55,0.62,9.1,0.5,2.39e+22,1.06e+22,1.37e+22,109000,43000,64000,0.4,prestellar,0,0,0
426,183106.5-021119,0.041,0.048,0.38,0.1,13.9,1.1,7.2e+21,2e+21,2.7e+21,35000,9000,14000,2.1,prestellar,0,1,0
427,183107.9-023109,0.03,0.039,0.11,0.06,12.5,2.3,2.7e+21,8e+20,1.4e+21,15000,5000,10000,5.6,starless,0,0,0
428,183109.2-022626,0.033,0.042,0.61,0.32,9.4,1.1,9.3e+21,4.2e+21,6.5e+21,49000,22000,43000,1.1,prestellar,0,0,0
429,183109.6-021410,0.02,0.031,0.04,0.02,15.2,2.1,1.5e+21,4e+20,1e+21,9000,3000,11000,11.2,starless,0,0,0
430,183109.7-015221,0.043,0.05,3.55,1.54,7.2,0.5,3.9e+22,1.69e+22,2.23e+22,186000,74000,113000,0.2,prestellar,0,0,0
431,183109.7-020622,0.014,0.026,2.88,0.57,13.7,1,6.35e+22,4.93e+22,1.661e+23,406000,410000,2.539e+06,0.1,protostellar,0,0,0
432,183109.9-021830,0.07,0.074,1.33,0.28,11.4,0.7,7.9e+21,2.9e+21,3.2e+21,29000,9000,10000,1,prestellar,0,0,0
433,183110.2-020438,0.019,0.031,11.46,1.95,10.3,0.6,1.823e+23,1.403e+23,3.869e+23,1.098e+06,987000,4.52e+06,0,prestellar,0,0,0
434,183110.5-020347,0.019,0.031,4.6,2.3,14.5,4.5,1e+23,5.74e+22,1.456e+23,605000,408000,1.648e+06,0.1,prestellar,1,0,0
435,183110.8-020542,0.019,0.03,3.04,1.52,14.5,4.5,7.95e+22,3.91e+22,1.031e+23,484000,282000,1.208e+06,0.1,prestellar,1,0,0
436,183110.9-021011,0.021,0.032,0.15,0.06,13.9,1.4,4.3e+21,1.8e+21,4.1e+21,26000,12000,43000,2.7,prestellar,0,1,0
437,183111.3-021631,0.02,0.031,0.05,0.03,14.5,4.5,1.7e+21,6e+20,1.5e+21,10000,5000,16000,7.8,starless,1,0,0
438,183111.5-021520,0.021,0.032,0.17,0.06,11.5,0.9,3.6e+21,2e+21,4.7e+21,22000,14000,49000,2.4,prestellar,0,1,0
