seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
474,183128.1-043323,0.033,0.041,0.31,0.15,10.3,1.1,5.4e+21,2.2e+21,3.3e+21,29000,12000,22000,2.1,prestellar,0,1,0
475,183128.3-045606,0.026,0.039,0.1,0.05,11.5,4.5,1.2e+21,8e+20,1.7e+21,7000,4000,15000,5.2,starless,1,0,0
476,183128.8-021325,0.018,0.03,0.23,0.05,14.7,0.8,4.2e+21,3.1e+21,8.4e+21,26000,22000,101000,1.5,prestellar,0,0,0
477,183129.6-011940,0.042,0.048,0.61,0.13,10.8,0.5,8.4e+21,3.2e+21,4.2e+21,41000,15000,22000,1.3,prestellar,0,0,0
478,183129.6-021519,0.019,0.03,1.11,0.27,11.2,0.6,2.76e+22,1.43e+22,3.7e+22,168000,104000,431000,0.3,prestellar,0,0,0
479,183129.7-015611,0.051,0.056,0.42,0.08,16.5,0.9,5.8e+21,1.6e+21,2e+21,26000,6000,8000,2.4,prestellar,0,1,0
480,183129.9-023022,0.022,0.035,0.05,0.03,14.5,4.5,1.5e+21,5e+20,1.2e+21,9000,3000,13000,8.6,starless,1,0,0
481,183130.3-021350,0.04,0.049,0.53,0.14,15.8,1.2,5.8e+21,2.6e+21,3.9e+21,28000,12000,21000,1.5,prestellar,0,0,0
482,183130.7-020537,0.017,0.029,0.19,0.09,13.6,3.2,3.4e+21,2.6e+21,7.6e+21,21000,20000,96000,1.8,prestellar,0,0,0
483,183130.9-014806,0.018,0.031,0.16,0.08,11.5,4.5,1.9e+21,2e+21,5.5e+21,11000,14000,65000,2.3,prestellar,1,1,0
484,183131.2-021628,0.024,0.033,0.67,0.16,11.6,0.6,1.22e+22,7.3e+21,1.44e+22,72000,49000,134000,0.7,prestellar,0,0,0
485,183131.3-020827,0.015,0.026,0.04,0.01,29.2,2.2,1.2e+21,8e+20,2.4e+21,7000,6000,35000,6.6,starless,0,0,0
486,183132.3-020859,0.02,0.033,0.05,0.01,23.7,2.2,1.5e+21,6e+20,1.6e+21,9000,4000,17000,7.3,protostellar,0,0,0
487,183133.6-020410,0.018,0.029,0.65,0.05,19.7,0.6,1.38e+22,9.3e+21,2.4e+22,85000,71000,292000,0.5,prestellar,0,0,0
488,183134.1-015937,0.029,0.038,0.07,0.1,13.9,4.5,1.7e+21,6e+20,1e+21,9000,4000,8000,7.8,starless,0,0,0
489,183134.2-022500,0.024,0.036,0.09,0.05,14.5,4.5,2.3e+21,8e+20,2e+21,13000,5000,18000,5,starless,1,0,0
490,183134.6-021533,0.019,0.031,0.61,0.13,11.5,0.6,1.35e+22,7.5e+21,2.03e+22,82000,53000,237000,0.6,prestellar,0,0,0
491,183135.8-020349,0.015,0.026,0.9,0.06,18.4,0.9,1.43e+22,1.58e+22,5.06e+22,91000,133000,765000,0.3,prestellar,0,0,0
492,183136.4-022925,0.025,0.035,0.07,0.04,14.5,4.5,1.8e+21,7e+20,1.4e+21,10000,4000,12000,6.9,starless,1,0,0
493,183136.9-044830,0.019,0.03,0.07,0.04,12.4,1.1,1.2e+21,1e+21,2.5e+21,7000,7000,28000,5.1,starless,0,0,0
494,183137.4-021518,0.024,0.037,2.43,0.24,12.2,0.3,3.27e+22,2.14e+22,5.1e+22,184000,128000,470000,0.2,prestellar,0,0,0
495,183137.7-043312,0.036,0.049,0.42,0.14,12.5,1.1,4.3e+21,2.1e+21,3.8e+21,21000,9000,23000,1.7,prestellar,0,0,0
